Ticker,Close,Date,High,Low,Month,Open,Volume,Daily_return,Baseline,Cum_Return
BAJAJ-AUTO,5016.45,2023-10-03 05:30:00,5073.0,4997.1,2023-10,5065.0,464531,,5016.45,0.0
BAJAJ-AUTO,4918.6,2023-10-04 05:30:00,5019.2,4903.05,2023-10,5011.25,256544,-0.019505825833009305,5016.45,-0.01950582583300929
BAJAJ-AUTO,5011.05,2023-10-05 05:30:00,5039.3,4925.1,2023-10,4935.0,657876,0.018795998861464547,5016.45,-0.0010764584516938546
BAJAJ-AUTO,5014.6,2023-10-06 05:30:00,5120.0,4997.5,2023-10,5120.0,279352,0.0007084343600642917,5016.45,-0.0003687866917839218
BAJAJ-AUTO,5007.3,2023-10-09 05:30:00,5068.7,4957.05,2023-10,4957.05,244083,-0.0014557492123000726,5016.45,-0.0018239990431479704
BAJAJ-AUTO,5037.5,2023-10-10 05:30:00,5064.0,5002.2,2023-10,5007.3,307502,0.006031194456094013,5016.45,0.004196194520029141
BAJAJ-AUTO,5064.4,2023-10-11 05:30:00,5095.0,5050.0,2023-10,5055.0,575680,0.0053399503722084685,5016.45,0.009558552362726593
BAJAJ-AUTO,5106.6,2023-10-12 05:30:00,5151.0,5051.1,2023-10,5085.0,472168,0.008332675144143487,5016.45,0.017970875818557056
BAJAJ-AUTO,5052.4,2023-10-13 05:30:00,5123.45,5040.0,2023-10,5089.95,387366,-0.010613715583754457,5016.45,0.0071664224700734224
BAJAJ-AUTO,5076.7,2023-10-16 05:30:00,5099.4,5032.0,2023-10,5035.0,158560,0.004809595439791092,5016.45,0.01201048550269613
BAJAJ-AUTO,5141.25,2023-10-17 05:30:00,5150.0,5070.0,2023-10,5083.0,318565,0.0127149526267063,5016.45,0.024878150883593016
BAJAJ-AUTO,5137.35,2023-10-18 05:30:00,5198.75,5125.65,2023-10,5150.0,360985,-0.000758570386579116,5016.45,0.024100708668480807
BAJAJ-AUTO,5482.6,2023-10-19 05:30:00,5495.0,5245.0,2023-10,5300.0,2838352,0.06720390862993564,5016.45,0.09292427912168975
BAJAJ-AUTO,5489.3,2023-10-20 05:30:00,5510.0,5436.9,2023-10,5450.0,763919,0.0012220479334621448,5016.45,0.09425988497842107
BAJAJ-AUTO,5405.4,2023-10-23 05:30:00,5493.4,5395.05,2023-10,5453.05,451167,-0.015284280327182098,5016.45,0.07753491014562088
BAJAJ-AUTO,5347.3,2023-10-25 05:30:00,5423.95,5332.3,2023-10,5385.0,620266,-0.010748510748510687,5016.45,0.06595301458202521
BAJAJ-AUTO,5259.35,2023-10-26 05:30:00,5347.45,5236.0,2023-10,5333.85,746266,-0.01644755297065803,5016.45,0.04842069591045472
BAJAJ-AUTO,5373.55,2023-10-27 05:30:00,5423.7,5265.0,2023-10,5265.0,843465,0.02171370986909027,5016.45,0.07118579872220403
BAJAJ-AUTO,5308.9,2023-10-30 05:30:00,5397.75,5275.0,2023-10,5388.0,360967,-0.012031152590001093,5016.45,0.05829819892553496
BAJAJ-AUTO,5314.05,2023-10-31 05:30:00,5366.15,5292.6,2023-10,5340.0,400987,0.000970069129198281,5016.45,0.05932482133779872
BAJAJ-AUTO,5344.35,2023-11-01 05:30:00,5449.5,5305.0,2023-11,5305.0,619765,0.005701865808564133,5016.45,0.06536494931674801
BAJAJ-AUTO,5318.4,2023-11-02 05:30:00,5392.85,5285.0,2023-11,5383.9,304362,-0.00485559516124523,5016.45,0.060191968423885384
BAJAJ-AUTO,5368.95,2023-11-03 05:30:00,5377.05,5316.6,2023-11,5357.0,448715,0.009504738267148038,5016.45,0.0702688155966869
BAJAJ-AUTO,5406.85,2023-11-06 05:30:00,5427.5,5377.1,2023-11,5380.0,394137,0.007059108391771263,5016.45,0.07782395917431661
BAJAJ-AUTO,5419.0,2023-11-07 05:30:00,5445.0,5405.3,2023-11,5406.85,202689,0.0022471494493097044,5016.45,0.08024599069062788
BAJAJ-AUTO,5397.6,2023-11-08 05:30:00,5435.25,5381.25,2023-11,5434.0,202145,-0.003949068093744179,5016.45,0.07598002571539646
BAJAJ-AUTO,5418.9,2023-11-09 05:30:00,5455.0,5382.15,2023-11,5421.8,232773,0.003946198310359916,5016.45,0.0802260562748557
BAJAJ-AUTO,5392.05,2023-11-10 05:30:00,5427.05,5349.05,2023-11,5409.95,149325,-0.00495488014172607,5016.45,0.07487366564004433
BAJAJ-AUTO,5442.55,2023-11-12 05:30:00,5455.0,5358.6,2023-11,5425.0,29055,0.009365640155414079,5016.45,0.08494054560495976
BAJAJ-AUTO,5425.2,2023-11-13 05:30:00,5439.8,5395.55,2023-11,5435.0,93497,-0.003187843933450396,5016.45,0.08148192446849864
BAJAJ-AUTO,5536.7,2023-11-15 05:30:00,5555.0,5461.1,2023-11,5525.0,640468,0.02055223770552228,5016.45,0.10370879805440103
BAJAJ-AUTO,5550.9,2023-11-16 05:30:00,5583.3,5496.95,2023-11,5520.0,324712,0.002564704607437518,5016.45,0.10653948509404057
BAJAJ-AUTO,5631.5,2023-11-17 05:30:00,5674.95,5479.35,2023-11,5556.9,531539,0.014520167900700764,5016.45,0.1226066242063611
BAJAJ-AUTO,5650.15,2023-11-20 05:30:00,5675.95,5606.0,2023-11,5610.05,679425,0.00331172866909335,5016.45,0.1263243927478595
BAJAJ-AUTO,5685.95,2023-11-21 05:30:00,5707.35,5640.0,2023-11,5640.5,746193,0.006336114970399098,5016.45,0.13346091359427484
BAJAJ-AUTO,5751.55,2023-11-22 05:30:00,5764.9,5661.3,2023-11,5680.0,497403,0.011537210140785792,5016.45,0.1465378903407789
BAJAJ-AUTO,5925.25,2023-11-23 05:30:00,5945.0,5783.1,2023-11,5800.0,1118718,0.030200554633098786,5016.45,0.18116397053693353
BAJAJ-AUTO,5930.3,2023-11-24 05:30:00,5960.0,5900.0,2023-11,5940.0,297211,0.0008522847137251155,5016.45,0.18217065853342512
BAJAJ-AUTO,5998.15,2023-11-28 05:30:00,6039.65,5912.0,2023-11,5969.8,380535,0.0114412424329291,5016.45,0.19569615963480147
BAJAJ-AUTO,6069.95,2023-11-29 05:30:00,6096.4,5973.3,2023-11,6010.0,406974,0.011970357526904118,5016.45,0.21000907015917633
BAJAJ-AUTO,6090.55,2023-11-30 05:30:00,6128.9,6031.0,2023-11,6095.0,501833,0.0033937676587121324,5016.45,0.214115559808231
BAJAJ-AUTO,6046.05,2023-12-01 05:30:00,6090.0,6003.3,2023-12,6050.0,439023,-0.007306400899754539,5016.45,0.20524474478964216
BAJAJ-AUTO,6201.7,2023-12-04 05:30:00,6217.7,6087.45,2023-12,6090.55,359158,0.02574408084617219,5016.45,0.23627266293893093
BAJAJ-AUTO,6140.1,2023-12-05 05:30:00,6194.05,6111.1,2023-12,6194.05,565826,-0.009932760372155958,5016.45,0.2239930628233114
BAJAJ-AUTO,6069.95,2023-12-06 05:30:00,6096.0,5987.85,2023-12,6089.05,699201,-0.011424895360010456,5016.45,0.21000907015917633
BAJAJ-AUTO,6093.6,2023-12-07 05:30:00,6154.45,6063.1,2023-12,6069.95,427407,0.0038962429674049837,5016.45,0.21472355948928037
BAJAJ-AUTO,6075.7,2023-12-08 05:30:00,6120.0,6048.05,2023-12,6115.0,233266,-0.0029375082053302304,5016.45,0.21115529906607264
